Start Date,End Date,"To what extent do you agree with the following statement? If a person has difficulty with speech, it means they also have intellectual deficiencies",Is it common for a person who has had a stroke or brain injury to have difficulties with speech and communication?,Have you ever heard the term aphasia?,"In your own words, how does aphasia affect the afflicted person",Which of the following best describes aphasia?,"If you can recall, where do you think you first heard about aphasia?",,Have you ever been diagnosed with aphasia?,How long ago were you diagnosed with aphasia?,"Besides yourself, do you know someone who has been diagnosed with aphasia?",Do you know someone who has been diagnosed with aphasia?,Which of the following are causes of aphasia? (select all that apply),,,,,"In the past year, how many times have you seen or heard mention of aphasia in a newspaper or magazine (paper or online), on TV, or on the radio?",Where was the last place you recall reading or hearing about aphasia?,Region,Household Income,Device Type,Age,Gender
,,Response,Response,Response,Open-Ended Response,Response,Response,Other (please specify),Response,Response,Response,Response,Stroke,Brain tumor,Traumatic brain injury,Heart Disease,I'm not sure,Response,Open-Ended Response,Response,Response,Response,Response,Response
4/20/22 22:26,4/20/22 22:27,neutral,Yes,Yes,Similar to suffocation,A heart condition,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,Heart Disease,,3-Jan,Huffington post,Pacific,"$200,000+",iOS Phone / Tablet,45-60,Male
4/20/22 22:25,4/20/22 22:26,strongly disagree,Yes,No,,,,,,,,,,,,,,,,West North Central,"$175,000-$199,999",MacOS Desktop / Laptop,45-60,Male
4/20/22 22:23,4/20/22 22:25,somewhat agree,Yes,No,,,,,,,,,,,,,,,,South Atlantic,"$125,000-$149,999",iOS Phone / Tablet,45-60,Male
4/20/22 22:23,4/20/22 22:24,neutral,I don't know,No,,,,,,,,,,,,,,,,East North Central,"$10,000-$24,999",Android Phone / Tablet,45-60,Male
4/20/22 22:20,4/20/22 22:23,strongly disagree,Yes,Yes,Affects ability to communicate,A language disorder,From a doctor,,No,,,I don't know,,Brain tumor,Traumatic brain injury,,,3-Jan,Doctor,Pacific,Prefer not to answer,iOS Phone / Tablet,18-29,Male
4/20/22 22:21,4/20/22 22:22,somewhat disagree,No,No,,,,,,,,,,,,,,,,Middle Atlantic,Prefer not to answer,iOS Phone / Tablet,18-29,Male
4/20/22 22:21,4/20/22 22:22,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Pacific,"$10,000-$24,999",iOS Phone / Tablet,18-29,Male
4/20/22 22:19,4/20/22 22:20,neutral,No,Yes,Brain,A heart condition,On TV or in a movie,,No,,,Yes,Stroke,,,Heart Disease,,3-Jan,Youtube,Pacific,"$100,000-$124,999",iOS Phone / Tablet,18-29,Male
4/20/22 22:18,4/20/22 22:18,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Pacific,Prefer not to answer,iOS Phone / Tablet,18-29,Male
4/20/22 22:18,4/20/22 22:18,somewhat disagree,Yes,No,,,,,,,,,,,,,,,,South Atlantic,"$75,000-$99,999",iOS Phone / Tablet,18-29,Male
4/20/22 22:17,4/20/22 22:18,neutral,Yes,Yes,not sure,A language disorder,On TV or in a movie,,No,,,No,,Brain tumor,,,,3-Jan,not sure,East South Central,"$0-$9,999",Android Phone / Tablet,18-29,Male
4/20/22 22:18,4/20/22 22:18,neutral,Yes,No,,,,,,,,,,,,,,,,East South Central,"$10,000-$24,999",Android Phone / Tablet,18-29,Male
4/20/22 22:17,4/20/22 22:18,strongly disagree,Yes,Yes,Basically brain indefinition,A language disorder,From a family member or friend,,No,,,Yes,Stroke,,Traumatic brain injury,,,6-Apr,Family members,Pacific,"$150,000-$174,999",iOS Phone / Tablet,18-29,Male
4/20/22 22:16,4/20/22 22:17,strongly disagree,Yes,Yes,hard to communicate,A language disorder,Other (please specify),I'm self educated,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,None,taking quizzes to learn medical stuff,Middle Atlantic,"$0-$9,999",Android Phone / Tablet,18-29,Male
4/20/22 22:17,4/20/22 22:17,strongly disagree,I don't know,No,,,,,,,,,,,,,,,,East North Central,"$125,000-$149,999",iOS Phone / Tablet,18-29,Male
4/20/22 22:16,4/20/22 22:17,neutral,Yes,No,,,,,,,,,,,,,,,,Middle Atlantic,"$0-$9,999",Android Phone / Tablet,18-29,Male
4/20/22 22:14,4/20/22 22:15,somewhat agree,Yes,Yes,"Speech, cognition",A language disorder,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Online,Pacific,Prefer not to answer,iOS Phone / Tablet,18-29,Male
4/20/22 22:12,4/20/22 22:12,neutral,No,Yes,idk what’s that  wa,A spinal condition,"In a newspaper, magazine or online publication",,Yes,More than 3 years ago,I don't know,,,Brain tumor,,,,6-Apr,ugh idk i forgot,Pacific,"$10,000-$24,999",iOS Phone / Tablet,18-29,Male
4/20/22 22:09,4/20/22 22:10,somewhat disagree,Yes,Yes,Their speech,A language disorder,From a doctor,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,TV,Pacific,"$125,000-$149,999",iOS Phone / Tablet,45-60,Male
4/20/22 22:05,4/20/22 22:07,somewhat disagree,Yes,Yes,there words,A language disorder,On TV or in a movie,,No,,,No,Stroke,,Traumatic brain injury,,,3-Jan,movie,New England,"$75,000-$99,999",Android Phone / Tablet,45-60,Male
4/20/22 22:04,4/20/22 22:05,neutral,Yes,Yes,I've heard the term but don't know what it is,I’m not sure,On TV or in a movie,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,None,n/a,Mountain,"$50,000-$74,999",Android Phone / Tablet,18-29,Male
4/20/22 22:00,4/20/22 22:01,strongly disagree,Yes,No,,,,,,,,,,,,,,,,East South Central,"$75,000-$99,999",Android Phone / Tablet,45-60,Male
4/20/22 21:54,4/20/22 21:55,somewhat agree,Yes,Yes,slurred words,A language disorder,From a family member or friend,,No,,,No,Stroke,,Traumatic brain injury,,,6-Apr,willis,East North Central,"$125,000-$149,999",Android Phone / Tablet,45-60,Male
4/20/22 21:51,4/20/22 21:52,somewhat disagree,Yes,Yes,Urmom,A spinal condition,"In a newspaper, magazine or online publication",,Yes,Less than a year ago,Yes,,,Brain tumor,,Heart Disease,,3-Jan,Urmom,Pacific,"$50,000-$74,999",iOS Phone / Tablet,18-29,Male
4/20/22 21:43,4/20/22 21:47,somewhat disagree,Yes,Yes,"A person has trouble pronouncing words, or remembering words when they are speaking.",A language disorder,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,9-Jul,"My Google News feed, regarding Bruce Willis",West South Central,"$50,000-$74,999",Android Phone / Tablet,45-60,Female
4/20/22 21:43,4/20/22 21:45,strongly disagree,Yes,Yes,really for got .,I’m not sure,From a family member or friend,,No,,,No,Stroke,,Traumatic brain injury,Heart Disease,,None,home,Mountain,"$0-$9,999",Android Phone / Tablet,45-60,Female
4/20/22 21:43,4/20/22 21:45,strongly disagree,Yes,Yes,Speech,A language disorder,From a doctor,,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Last week,South Atlantic,"$25,000-$49,999",iOS Phone / Tablet,45-60,Female
4/20/22 21:43,4/20/22 21:44,neutral,Yes,No,,,,,,,,,,,,,,,,South Atlantic,"$10,000-$24,999",Android Phone / Tablet,45-60,Female
4/20/22 21:42,4/20/22 21:44,neutral,Yes,Yes,Inability to communicate thoughts with speech,A language disorder,From a family member or friend,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Tv story about Bruce Willis,Pacific,Prefer not to answer,iOS Phone / Tablet,45-60,Female
4/20/22 21:43,4/20/22 21:44,strongly agree,Yes,Yes,A language disorder,A language disorder,On TV or in a movie,,No,,,No,,Brain tumor,,,,3-Jan,Tv,East South Central,"$125,000-$149,999",iOS Phone / Tablet,45-60,Female
4/20/22 21:43,4/20/22 21:44,neutral,Yes,No,,,,,,,,,,,,,,,,Mountain,Prefer not to answer,Android Phone / Tablet,45-60,Female
4/20/22 21:40,4/20/22 21:44,strongly disagree,Yes,Yes,"Yes, frustration at being unable to express oneself",None of the above,Other (please specify),I am a nurse,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,10 or more,"At work, I am a nurse",Middle Atlantic,"$125,000-$149,999",Android Phone / Tablet,45-60,Female
4/20/22 21:41,4/20/22 21:43,strongly disagree,Yes,Yes,Memory loss,I’m not sure,I don't recall,,No,,,I don't know,,,,,I'm not sure,None,At a family get together a long time ago,East North Central,"$100,000-$124,999",iOS Phone / Tablet,45-60,Female
4/20/22 21:38,4/20/22 21:42,neutral,Yes,Yes,It can be difficult for the person to communicate their feelings and needs in a way that can be understood by others.,A language disorder,"In a newspaper, magazine or online publication",,Yes,More than 3 years ago,Yes,,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,TV ,East North Central,"$50,000-$74,999",Android Phone / Tablet,45-60,Female
4/20/22 21:40,4/20/22 21:42,strongly disagree,Yes,Yes,"speech, communication, social",A language disorder,Other (please specify),I'm a therapist,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Bruce Willis on the news,West South Central,"$100,000-$124,999",Android Phone / Tablet,45-60,Female
4/20/22 21:39,4/20/22 21:41,strongly disagree,Yes,Yes,people lose speech they are used to.,A language disorder,Other (please specify),daughter at school.,No,,,Yes,Stroke,,,,,None,a friend had a stroke,Pacific,"$100,000-$124,999",Android Phone / Tablet,45-60,Female
4/20/22 21:39,4/20/22 21:41,strongly disagree,I don't know,Yes,difficult to find words to talk or describe something,None of the above,I don't recall,,No,,,Yes,Stroke,,,,,None,family member,East North Central,"$50,000-$74,999",Android Phone / Tablet,45-60,Female
4/20/22 21:39,4/20/22 21:41,strongly disagree,No,Yes,Difficulty speaking,A language disorder,"In a newspaper, magazine or online publication",,No,,,No,,,Traumatic brain injury,,,6-Apr,Bruce Willis has aphasia,New England,"$100,000-$124,999",Android Phone / Tablet,45-60,Female
4/20/22 21:40,4/20/22 21:41,strongly disagree,Yes,No,,,,,,,,,,,,,,,,South Atlantic,"$50,000-$74,999",Android Phone / Tablet,45-60,Female
4/20/22 21:40,4/20/22 21:40,neutral,Yes,No,,,,,,,,,,,,,,,,Pacific,"$25,000-$49,999",iOS Phone / Tablet,45-60,Female
