"year","gender","age","q_heard_of","q_own_words","q_describes","q_common_cva","q_intellect","q_first_heard","q_diagnosed","q_how_long_ago","q_know_someone_else","q_know_someone","q_causes_cva","q_causes_tumor","q_causes_tbi","q_causes_heart","q_causes_notsure","q_past_year","q_last_place"
"2016","female","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","65 and over","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","65 and over","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","45 to 54","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","45 to 54","No",NA,NA,"No","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","65 and over","Yes",NA,"A heart condition","Yes","Strongly disagree","On TV or in a movie","No",NA,NA,"No","0","0","0","0","1","1 to 3",NA
"2016","male","25 to 34","No",NA,NA,"Yes","Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","Yes",NA,"A language disorder","Yes","Somewhat disagree","In a newspaper, magazine or online publication","No",NA,NA,"No","1","1","1","0","0","None",NA
"2016","female","55 to 64","No",NA,NA,"No","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","65 and over","Yes","Speech","None of the above","Yes","Somewhat agree","From a doctor","No",NA,NA,"Yes","1","1","1","1","0","1 to 3","Jama"
"2016","male","65 and over","Yes","unemotional","A language disorder","Yes","Strongly disagree","In a newspaper, magazine or online publication","No",NA,NA,"No","0","0","1","0","0","1 to 3","medical text"
"2016","male","35 to 44","No",NA,NA,"No","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","Yes","The ability to speak words or understand them is impaired","A language disorder","Yes","Somewhat agree","Other: Previous sales job training","No",NA,NA,"No","1","0","1","0","0","None","In a sales visual aid"
"2016","male","55 to 64","No",NA,NA,"No","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","55 to 64","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","65 and over","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","65 and over","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","65 and over","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","Yes",NA,"I'm not sure","Yes","Somewhat disagree","On TV or in a movie","No",NA,NA,"No","0","0","0","0","1","None",NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","Yes",NA,"A language disorder","Yes","Strongly disagree","I don't recall","No",NA,NA,"Yes","1","1","1","0","0","None","My school where I work"
"2016","female","25 to 34","No",NA,NA,"No","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","55 to 64","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","65 and over","No",NA,NA,"I don't know","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","Yes","Can't find the correct words to express thoughts.  Highly frustrating and can lead to depression and other stress related symptoms.","A language disorder","Yes","Strongly disagree","I don't recall","No",NA,NA,"No","1","1","1","1","0","None",NA
"2016","male","65 and over","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","45 to 54","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","45 to 54","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","65 and over","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","Yes",NA,"I'm not sure","Yes","Somewhat disagree","In a newspaper, magazine or online publication","No",NA,NA,"No","0","0","0","0","1","1 to 3","Webmd"
"2016","female","25 to 34","No",NA,NA,"No","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"No","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","55 to 64","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","45 to 54","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","Yes","It can affect the person's ability to comprehend or formulate proper language because of a hit to the head and so on...","A language disorder","Yes","Somewhat disagree","Other: General reading","No",NA,NA,"No","1","1","1","0","0","None","Perhaps something I read."
"2016","female","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","Yes",NA,"None of the above","No","Neutral","I don't recall","No",NA,NA,"No","0","0","0","0","1","None",NA
"2016","male","35 to 44","No",NA,NA,"No","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
